,s,senario,Senario type,RT1,R,sex,age,theta,beta,alpha,beta_s
90,7,15,GENDER,4.163,1,1,0,0,0,0,2
91,7,13,AGE+GENDER,5.558,0,1,0,0,0,0,2
92,7,1,GENDER,3.874,1,1,0,0,0,0,2
93,7,12,AGE+GENDER,2.506,1,1,0,0,0,0,2
94,7,2,AGE+GENDER,3.015,1,1,0,0,0,0,2
95,7,9,AGE+GENDER,1.863,1,1,0,0,0,0,2
96,7,7,AGE+GENDER,2.313,0,1,0,0,0,0,2
97,7,4,AGE+GENDER,2.49,1,1,0,0,0,0,2
98,7,15,GENDER,2.896,1,1,0,0,0,0,2
99,7,12,AGE+GENDER,1.04,1,1,0,0,0,0,2
100,7,1,GENDER,2.533,1,1,0,0,0,0,2
101,7,14,AGE+GENDER,3.318,0,1,0,0,0,0,2
102,7,9,AGE+GENDER,1.13,1,1,0,0,0,0,2
103,7,7,AGE+GENDER,1.846,0,1,0,0,0,0,2
104,7,13,AGE+GENDER,1.775,0,1,0,0,0,0,2
105,7,2,AGE+GENDER,0.944,1,1,0,0,0,0,2
106,7,10,GENDER,3.04,1,1,0,0,0,0,2
107,7,4,AGE+GENDER,3.52,0,1,0,0,0,0,2
108,8,7,AGE+GENDER,0.362,1,0,1,0,0,1,0
109,8,2,AGE+GENDER,3.825,0,0,1,0,0,1,0
110,8,9,AGE+GENDER,2.498,1,0,1,0,0,1,0
111,8,4,AGE+GENDER,0.956,0,0,1,0,0,1,0
112,8,13,AGE+GENDER,1.958,0,0,1,0,0,1,0
113,8,14,AGE+GENDER,3.087,0,0,1,0,0,1,0
114,8,1,GENDER,4.023,1,0,1,0,0,1,0
115,8,9,AGE+GENDER,1.546,1,0,1,0,0,1,0
116,8,1,GENDER,3.456,1,0,1,0,0,1,0
117,8,2,AGE+GENDER,0.931,0,0,1,0,0,1,0
118,8,13,AGE+GENDER,2.408,0,0,1,0,0,1,0
119,8,10,GENDER,6.039,1,0,1,0,0,1,0
120,8,7,AGE+GENDER,0.23,1,0,1,0,0,1,0
121,8,4,AGE+GENDER,0.872,0,0,1,0,0,1,0
122,8,14,AGE+GENDER,2.687,0,0,1,0,0,1,0
123,9,14,AGE+GENDER,4.454,0,1,0,0,0,0,2
124,9,1,GENDER,2.382,1,1,0,0,0,0,2
125,9,10,GENDER,3.573,1,1,0,0,0,0,2
126,9,13,AGE+GENDER,4.158,0,1,0,0,0,0,2
127,9,9,AGE+GENDER,3.715,1,1,0,0,0,0,2
128,9,2,AGE+GENDER,4.299,1,1,0,0,0,0,2
129,9,15,GENDER,3.882,1,1,0,0,0,0,2
130,9,4,AGE+GENDER,2.74,0,1,0,0,0,0,2
131,9,12,AGE+GENDER,1.49,1,1,0,0,0,0,2
132,9,1,GENDER,3.504,1,1,0,0,0,0,2
133,9,9,AGE+GENDER,2.715,1,1,0,0,0,0,2
