,s,senario,Senario type,RT1,R,sex,age,theta,beta,alpha,beta_s
435,30,2,AGE+GENDER,1.48,1,0,0,1,1,0,1
436,30,10,GENDER,2.19,0,0,0,1,1,0,1
437,31,4,AGE+GENDER,2.352,1,1,0,1,1,1,2
438,31,7,AGE+GENDER,2.663,0,1,0,1,1,1,2
439,31,9,AGE+GENDER,4.381,1,1,0,1,1,1,2
440,31,12,AGE+GENDER,2.222,1,1,0,1,1,1,2
441,31,1,GENDER,3.94,0,1,0,1,1,1,2
442,31,2,AGE+GENDER,2.598,1,1,0,1,1,1,2
443,31,10,GENDER,2.79,1,1,0,1,1,1,2
444,31,13,AGE+GENDER,5.791,0,1,0,1,1,1,2
445,31,15,GENDER,3.998,1,1,0,1,1,1,2
446,31,14,AGE+GENDER,3.448,0,1,0,1,1,1,2
447,31,14,AGE+GENDER,4.182,0,1,0,1,1,1,2
448,31,10,GENDER,3.707,1,1,0,1,1,1,2
449,31,1,GENDER,4.386,0,1,0,1,1,1,2
450,31,13,AGE+GENDER,2.358,0,1,0,1,1,1,2
451,31,9,AGE+GENDER,2.614,1,1,0,1,1,1,2
452,31,2,AGE+GENDER,2.211,1,1,0,1,1,1,2
453,32,4,AGE+GENDER,2.155,1,1,1,1,1,0,0
454,32,12,AGE+GENDER,3.422,1,1,1,1,1,0,0
455,32,14,AGE+GENDER,5.085,0,1,1,1,1,0,0
456,32,15,GENDER,3.749,1,1,1,1,1,0,0
457,32,12,AGE+GENDER,4.09,1,1,1,1,1,0,0
458,32,15,GENDER,4.149,1,1,1,1,1,0,0
459,33,9,AGE+GENDER,3.728,1,1,0,1,1,1,1
460,33,15,GENDER,4.914,0,1,0,1,1,1,1
461,33,12,AGE+GENDER,3.674,1,1,0,1,1,1,1
462,33,1,GENDER,4.406,0,1,0,1,1,1,1
463,33,14,AGE+GENDER,4.003,0,1,0,1,1,1,1
464,33,10,GENDER,4.941,1,1,0,1,1,1,1
465,33,4,AGE+GENDER,2.491,1,1,0,1,1,1,1
466,33,2,AGE+GENDER,4.198,1,1,0,1,1,1,1
467,33,7,AGE+GENDER,2.679,0,1,0,1,1,1,1
468,33,14,AGE+GENDER,4.415,0,1,0,1,1,1,1
469,33,9,AGE+GENDER,3.349,0,1,0,1,1,1,1
470,33,12,AGE+GENDER,2.74,1,1,0,1,1,1,1
471,33,1,GENDER,3.873,1,1,0,1,1,1,1
472,33,10,GENDER,5.807,1,1,0,1,1,1,1
473,33,4,AGE+GENDER,2.42,1,1,0,1,1,1,1
474,33,13,AGE+GENDER,3.308,0,1,0,1,1,1,1
475,33,2,AGE+GENDER,4.562,1,1,0,1,1,1,1
476,33,15,GENDER,4.032,0,1,0,1,1,1,1
477,33,7,AGE+GENDER,1.628,0,1,0,1,1,1,1
478,34,14,AGE+GENDER,1.585,0,1,1,1,1,1,3
479,34,13,AGE+GENDER,2.309,1,1,1,1,1,1,3
480,34,2,AGE+GENDER,0.782,0,1,1,1,1,1,3
481,34,1,GENDER,1.623,1,1,1,1,1,1,3
482,34,15,GENDER,1.348,1,1,1,1,1,1,3
483,34,10,GENDER,2.49,1,1,1,1,1,1,3
484,34,12,AGE+GENDER,1.756,0,1,1,1,1,1,3
485,34,7,AGE+GENDER,0.846,1,1,1,1,1,1,3
486,34,9,AGE+GENDER,1.932,1,1,1,1,1,1,3
487,34,4,AGE+GENDER,1.14,0,1,1,1,1,1,3
488,34,15,GENDER,1.628,1,1,1,1,1,1,3
489,34,1,GENDER,1.273,1,1,1,1,1,1,3
490,34,7,AGE+GENDER,0.697,1,1,1,1,1,1,3
491,34,4,AGE+GENDER,1.903,1,1,1,1,1,1,3
492,34,9,AGE+GENDER,0.965,1,1,1,1,1,1,3
493,34,2,AGE+GENDER,0.828,0,1,1,1,1,1,3
494,34,14,AGE+GENDER,3.569,0,1,1,1,1,1,3
495,34,13,AGE+GENDER,2.558,1,1,1,1,1,1,3
496,34,12,AGE+GENDER,2.04,0,1,1,1,1,1,3
497,34,10,GENDER,3.44,1,1,1,1,1,1,3
498,35,7,AGE+GENDER,4.189,0,1,1,1,1,1,3
499,35,9,AGE+GENDER,3.782,1,1,1,1,1,1,3
500,35,4,AGE+GENDER,2.405,0,1,1,1,1,1,3
501,35,14,AGE+GENDER,4.02,0,1,1,1,1,1,3
502,35,10,GENDER,5.457,1,1,1,1,1,1,3
503,35,15,GENDER,4.565,0,1,1,1,1,1,3
504,35,1,GENDER,2.557,1,1,1,1,1,1,3
505,35,2,AGE+GENDER,2.348,1,1,1,1,1,1,3
506,35,13,AGE+GENDER,2.091,0,1,1,1,1,1,3
507,35,4,AGE+GENDER,2.62,0,1,1,1,1,1,3
508,35,12,AGE+GENDER,0.94,1,1,1,1,1,1,3
509,35,2,AGE+GENDER,0.211,1,1,1,1,1,1,3
510,35,1,GENDER,1.92,1,1,1,1,1,1,3
511,35,14,AGE+GENDER,1.953,0,1,1,1,1,1,3
512,35,13,AGE+GENDER,1.04,0,1,1,1,1,1,3
513,35,10,GENDER,2.623,1,1,1,1,1,1,3
514,35,15,GENDER,3.33,1,1,1,1,1,1,3
515,35,9,AGE+GENDER,0.815,1,1,1,1,1,1,3
516,36,14,AGE+GENDER,4.603,0,1,0,0,0,1,2
517,36,4,AGE+GENDER,2.856,0,1,0,0,0,1,2
518,36,9,AGE+GENDER,3.732,1,1,0,0,0,1,2
519,36,15,GENDER,4.297,1,1,0,0,0,1,2
520,36,4,AGE+GENDER,3.256,0,1,0,0,0,1,2
521,36,13,AGE+GENDER,4.608,1,1,0,0,0,1,2
522,36,12,AGE+GENDER,3.34,1,1,0,0,0,1,2
523,36,14,AGE+GENDER,5.319,0,1,0,0,0,1,2
524,36,9,AGE+GENDER,3.981,1,1,0,0,0,1,2
525,36,7,AGE+GENDER,4.497,1,1,0,0,0,1,2
526,36,1,GENDER,4.336,1,1,0,0,0,1,2
527,37,7,AGE+GENDER,3.679,1,1,0,1,1,1,1
528,37,4,AGE+GENDER,2.623,1,1,0,1,1,1,1
529,37,9,AGE+GENDER,2.298,1,1,0,1,1,1,1
530,37,13,AGE+GENDER,2.558,1,1,0,1,1,1,1
531,37,15,GENDER,3.05,1,1,0,1,1,1,1
532,37,2,AGE+GENDER,1.731,0,1,0,1,1,1,1
533,37,14,AGE+GENDER,2.203,0,1,0,1,1,1,1
534,37,12,AGE+GENDER,0.573,0,1,0,1,1,1,1
535,37,1,GENDER,2.806,1,1,0,1,1,1,1
536,37,10,GENDER,2.239,1,1,0,1,1,1,1
537,37,2,AGE+GENDER,1.528,0,1,0,1,1,1,1
538,37,14,AGE+GENDER,1.987,0,1,0,1,1,1,1
539,37,9,AGE+GENDER,0.948,1,1,0,1,1,1,1
540,37,10,GENDER,2.139,1,1,0,1,1,1,1
541,37,15,GENDER,2.131,1,1,0,1,1,1,1
542,37,4,AGE+GENDER,2.136,0,1,0,1,1,1,1
543,37,12,AGE+GENDER,1.523,0,1,0,1,1,1,1
544,37,1,GENDER,0.654,1,1,0,1,1,1,1
545,37,13,AGE+GENDER,0.541,1,1,0,1,1,1,1
546,38,7,AGE+GENDER,4.747,1,1,0,1,1,1,3
547,38,13,AGE+GENDER,6.091,1,1,0,1,1,1,3
548,38,2,AGE+GENDER,5.282,0,1,0,1,1,1,3
549,38,4,AGE+GENDER,2.923,0,1,0,1,1,1,3
550,38,14,AGE+GENDER,3.57,0,1,0,1,1,1,3
551,38,1,GENDER,3.673,1,1,0,1,1,1,3
552,38,9,AGE+GENDER,3.231,1,1,0,1,1,1,3
553,38,12,AGE+GENDER,3.473,1,1,0,1,1,1,3
554,38,13,AGE+GENDER,5.075,1,1,0,1,1,1,3
555,38,14,AGE+GENDER,5.752,0,1,0,1,1,1,3
556,38,7,AGE+GENDER,4.512,1,1,0,1,1,1,3
557,38,2,AGE+GENDER,5.532,0,1,0,1,1,1,3
558,38,4,AGE+GENDER,3.004,0,1,0,1,1,1,3
559,38,1,GENDER,4.67,1,1,0,1,1,1,3
560,39,1,GENDER,2.823,1,1,1,1,1,1,3
561,39,2,AGE+GENDER,1.58,1,1,1,1,1,1,3
562,39,7,AGE+GENDER,2.296,0,1,1,1,1,1,3
563,39,15,GENDER,3.148,0,1,1,1,1,1,3
564,39,10,GENDER,4.523,0,1,1,1,1,1,3
565,39,13,AGE+GENDER,4.342,0,1,1,1,1,1,3
566,39,14,AGE+GENDER,4.654,0,1,1,1,1,1,3
567,39,12,AGE+GENDER,3.241,0,1,1,1,1,1,3
568,39,4,AGE+GENDER,1.723,0,1,1,1,1,1,3
569,39,9,AGE+GENDER,2.399,1,1,1,1,1,1,3
570,39,4,AGE+GENDER,1.506,0,1,1,1,1,1,3
571,39,1,GENDER,3.257,1,1,1,1,1,1,3
572,39,2,AGE+GENDER,1.548,1,1,1,1,1,1,3
573,39,10,GENDER,4.239,0,1,1,1,1,1,3
574,39,7,AGE+GENDER,2.446,0,1,1,1,1,1,3
575,39,14,AGE+GENDER,3.754,0,1,1,1,1,1,3
576,39,12,AGE+GENDER,1.789,1,1,1,1,1,1,3
577,39,15,GENDER,3.465,0,1,1,1,1,1,3
578,39,13,AGE+GENDER,2.924,1,1,1,1,1,1,3
579,39,9,AGE+GENDER,2.798,1,1,1,1,1,1,3
580,40,10,GENDER,4.655,1,1,1,1,1,0,1
581,40,1,GENDER,1.873,1,1,1,1,1,0,1
582,40,12,AGE+GENDER,2.872,0,1,1,1,1,0,1
583,40,9,AGE+GENDER,2.314,1,1,1,1,1,0,1
584,40,13,AGE+GENDER,3.425,1,1,1,1,1,0,1
585,40,7,AGE+GENDER,1.045,1,1,1,1,1,0,1
586,40,10,GENDER,3.44,1,1,1,1,1,0,1
