"s","RT","M","Scenario_Type","R"
13,5.248,"Text","GENDER",1
13,3.031,"Text","GENDER",1
13,1.565,"Text","GENDER",1
14,8.165,"Text","GENDER",0
14,2.532,"Text","GENDER",0
14,4.032,"Text","GENDER",0
14,5.432,"Text","GENDER",0
14,2.515,"Text","GENDER",0
14,3.149,"Text","GENDER",0
15,5.064,"Text","GENDER",0
15,9.881,"Text","GENDER",0
15,3.148,"Text","GENDER",0
15,3.064,"Text","GENDER",1
15,5.131,"Text","GENDER",0
15,3.814,"Text","GENDER",0
16,2.897,"Text","GENDER",0
16,3.363,"Text","GENDER",0
16,4.464,"Text","GENDER",0
16,3.364,"Text","GENDER",0
16,3.914,"Text","GENDER",0
16,3.214,"Text","GENDER",0
17,3.131,"Text","GENDER",0
17,2.164,"Text","GENDER",0
17,4.83,"Text","GENDER",0
17,2.58,"Text","GENDER",0
17,1.547,"Text","GENDER",0
17,2.448,"Text","GENDER",0
18,5.981,"Text","GENDER",0
18,12.648,"Text","GENDER",1
18,7.582,"Text","GENDER",0
18,12.33,"Text","GENDER",0
18,6.446,"Text","GENDER",1
19,2.615,"Text","GENDER",0
19,2.532,"Text","GENDER",0
19,2.899,"Text","GENDER",1
19,2.182,"Text","GENDER",0
19,2.015,"Text","GENDER",1
20,8.015,"Text","GENDER",1
20,5.131,"Text","GENDER",0
20,4.347,"Text","GENDER",1
20,1.597,"Text","GENDER",1
20,3.498,"Text","GENDER",1
20,2.997,"Text","GENDER",1
21,7.51400000000285,"Text","GENDER",0
21,4.76499999999942,"Text","GENDER",0
21,2.33099999999831,"Text","GENDER",0
21,3.26499999999942,"Text","GENDER",0
21,3.94700000000012,"Text","GENDER",0
21,3.59700000000157,"Text","GENDER",0
22,7.01399999999558,"Text","GENDER",1
22,9.86499999999796,"Text","GENDER",0
22,7.34599999999773,"Text","GENDER",0
22,8.79699999999866,"Text","GENDER",1
22,5.94700000000012,"Text","GENDER",1
22,3.34800000000541,"Text","GENDER",1
23,7.93099999999686,"Text","GENDER",0
23,2.56399999999849,"Text","GENDER",1
23,2.96399999999994,"Text","GENDER",0
23,4.11499999999796,"Text","GENDER",1
23,3.58000000000175,"Text","GENDER",1
24,5.69799999999668,"Text","GENDER",0
24,2.16399999999703,"Text","GENDER",0
24,2.89700000000448,"Text","GENDER",0
24,3.76499999999942,"Text","GENDER",0
24,1.64800000000105,"Text","GENDER",0
24,2.13000000000466,"Text","GENDER",0
25,11.9309999999969,"Text","GENDER",0
25,4.08000000000175,"Text","GENDER",0
25,5.51399999999558,"Text","GENDER",0
25,2.59799999999814,"Text","GENDER",1
25,2.54799999999523,"Text","GENDER",1
25,2.9800000000032,"Text","GENDER",1
26,7.49799999999959,"Text","GENDER",0
26,4.83099999999831,"Text","GENDER",0
26,3.56500000000233,"Text","GENDER",0
26,3.58100000000559,"Text","GENDER",0
26,4.51400000000285,"Text","GENDER",0
26,3.7980000000025,"Text","GENDER",0
27,1.9149999999936,"Text","GENDER",0
27,2.98099999999977,"Text","GENDER",0
27,4.58099999999831,"Text","GENDER",0
27,2.36499999999796,"Text","GENDER",0
27,2.81399999999849,"Text","GENDER",0
27,1.93099999999686,"Text","GENDER",0
28,3.94700000000012,"Text","GENDER",0
28,3.74500000000262,"Text","GENDER",0
29,6.34900000000198,"Text","GENDER",0
29,7.56399999999849,"Text","GENDER",0
29,7.21499999999651,"Text","GENDER",0
29,2.24799999999959,"Text","GENDER",0
29,4.28100000000268,"Text","GENDER",0
29,3.53100000000268,"Text","GENDER",0
30,5.43100000000413,"Text","GENDER",0
30,5.66399999999703,"Text","GENDER",0
30,6.3640000000014,"Text","GENDER",1
30,2.66399999999703,"Text","GENDER",1
30,2.64699999999721,"Text","GENDER",1
31,10.2649999999994,"Text","GENDER",0
31,5.69900000000052,"Text","GENDER",0
31,8.79699999999866,"Text","GENDER",0
31,6.83099999999831,"Text","GENDER",0
31,2.84799999999814,"Text","GENDER",0
31,6.08200000000215,"Text","GENDER",0
32,3.23099999999977,"Text","GENDER",1
32,3.21499999999651,"Text","GENDER",0
32,5.14800000000105,"Text","GENDER",0
32,4.7980000000025,"Text","GENDER",0
32,4.6140000000014,"Text","GENDER",0
32,5.14700000000448,"Text","GENDER",0
33,2.831,"Text","GENDER",0
33,3.915,"Text","GENDER",0
33,5.515,"Text","GENDER",0
33,4.097,"Text","GENDER",1
33,5.631,"Text","GENDER",1
33,3.548,"Text","GENDER",1
34,9.64799999999377,"Text","GENDER",0
34,9.88100000000122,"Text","GENDER",0
34,4.04699999999866,"Text","GENDER",0
34,3.46399999999994,"Text","GENDER",0
34,9.5309999999954,"Text","GENDER",0
34,9.39700000000448,"Text","GENDER",0
35,2.94700000000012,"Text","GENDER",0
35,8.11499999999796,"Text","GENDER",1
35,7.19799999999668,"Text","GENDER",0
35,4.56399999999849,"Text","GENDER",0
35,11.913999999997,"Text","GENDER",1
35,4.34600000000501,"Text","GENDER",0
36,9.81500000000233,"Text","GENDER",1
36,3.66500000000087,"Text","GENDER",0
36,3.56500000000233,"Text","GENDER",0
36,5.83099999999831,"Text","GENDER",0
36,2.61499999999796,"Text","GENDER",0
36,10.1630000000005,"Text","GENDER",1
37,4.88100000000122,"Text","GENDER",0
37,3.03199999999924,"Text","GENDER",0
37,2.34799999999814,"Text","GENDER",0
37,6.73199999999633,"Text","GENDER",0
37,2.32900000000518,"Text","GENDER",0
37,4.14600000000064,"Text","GENDER",0
38,8.19800000000396,"Text","GENDER",1
38,4.08099999999831,"Text","GENDER",0
38,2.2129999999961,"Text","GENDER",1
38,2.93100000000413,"Text","GENDER",1
38,2.73099999999977,"Text","GENDER",1
39,5.48099999999977,"Text","GENDER",0
39,3.89699999999721,"Text","GENDER",0
39,5.41400000000431,"Text","GENDER",0
39,6.01400000001013,"Text","GENDER",1
39,3.13099999999395,"Text","GENDER",1
39,3.67899999998917,"Text","GENDER",1
40,4.08099999999831,"Text","GENDER",0
40,2.49599999999919,"Text","GENDER",0
40,9.74700000000303,"Text","GENDER",0
40,4.79699999999866,"Text","GENDER",0
40,5.37999999999738,"Text","GENDER",0
40,1.77999999999884,"Text","GENDER",0
