"s","RT","M","Scenario_Type","R"
32,5.77399999999761,"Video","GENDER",0
32,6.17400000000634,"Video","GENDER",0
33,6.93899999999849,"Video","GENDER",1
33,7.45599999999831,"Video","GENDER",1
33,4.94099999999889,"Video","GENDER",0
33,6.9230000000025,"Video","GENDER",0
33,5.8070000000007,"Video","GENDER",0
33,6.0570000000007,"Video","GENDER",1
34,4.67299999999523,"Video","GENDER",0
34,3.37299999999959,"Video","GENDER",0
34,2.48999999999796,"Video","GENDER",0
34,3.65299999999843,"Video","GENDER",0
34,4.32300000000396,"Video","GENDER",0
34,3.44000000000233,"Video","GENDER",0
35,5.45700000000215,"Video","GENDER",0
35,6.59000000000378,"Video","GENDER",1
35,5.60700000000361,"Video","GENDER",0
35,4.97000000000116,"Video","GENDER",0
35,2.62299999999959,"Video","GENDER",0
35,5.3550000000032,"Video","GENDER",0
36,6.48999999999796,"Video","GENDER",1
36,6.32200000000012,"Video","GENDER",0
36,7.63999999999942,"Video","GENDER",0
36,7.3859999999986,"Video","GENDER",0
37,5.07500000000437,"Video","GENDER",0
37,5.85599999999977,"Video","GENDER",0
37,2.2390000000014,"Video","GENDER",0
37,2.13900000000285,"Video","GENDER",0
37,4.15600000000268,"Video","GENDER",0
37,3.7039999999979,"Video","GENDER",0
38,6.72299999999814,"Video","GENDER",0
38,6.44000000000233,"Video","GENDER",1
38,7.72000000000116,"Video","GENDER",0
39,5.87300000000687,"Video","GENDER",0
39,5.17299999999523,"Video","GENDER",1
39,4.52300000000105,"Video","GENDER",1
39,6.3070000000007,"Video","GENDER",0
39,4.2390000000014,"Video","GENDER",1
39,5.49000000000524,"Video","GENDER",1
40,4.65499999999884,"Video","GENDER",0
40,4.9230000000025,"Video","GENDER",0
40,3.44000000000233,"Video","GENDER",0
